1760,3755,3046,8080,8982,10452,4860,2288,3975,3752,1746,9301,7692,1123,3424,3669,860,2454,6641,5504,5532,889,0,478,10885,14922,1490,16437,16302,1707,5100,4485,4633,4970,1219,1478,7168,9811,17043,1320,3250,3500,3500,1995,9149,2133,1548,7723,5122,2832,1567,1168,3558,2690,1947,2324,2762,209,6756,4262,6842,5686,14688,13507,2845,1038,3199,6120,6475
2015,3329,2585,8447,9401,10857,5269,1934,4303,4026,1880,9739,8142,1391,3041,3275,932,2773,6174,5032,5119,1339,478,0,11264,15326,1015,16843,16701,2185,5566,4940,4973,5290,966,1285,7540,10209,17453,945,3678,3953,3887,2404,9525,2593,1782,8188,5597,2482,1129,1623,4031,3077,1473,2338,3223,685,7187,4693,7208,6041,15072,13907,2999,598,2767,6584,6926
11394,14569,13726,2839,2434,1131,6070,13173,7020,7458,9675,2935,4311,11205,14303,14539,10463,8522,17097,15911,16369,10507,10885,11264,0,4223,12157,5731,5517,9612,6621,6823,6336,6102,12089,12293,3727,1279,6372,11409,7708,7647,7385,8896,1741,8927,9574,4991,7062,13716,12382,10347,8006,8195,12578,12575,8383,10704,4486,6763,4067,5248,3814,2796,8793,11504,14001,5841,5153
15232,18652,17839,7022,5975,4469,10062,17201,11164,11637,13822,5887,7604,15122,18345,18591,14568,12633,21266,20080,20445,14458,14922,15326,4223,0,16255,1522,1411,13524,10251,10623,10483,10282,16102,16278,7867,5124,2152,15542,11685,11537,11442,12928,5914,12878,13691,8001,10567,17736,16453,14270,11776,12250,16687,16426,12293,14731,8236,10692,8218,9397,1127,1436,12982,15609,18086,9311,8721
2682,2415,1595,9326,10356,11791,6219,1320,5150,4799,2553,10719,9138,2146,2247,2442,1694,3635,5166,4018,4216,2307,1490,1015,12157,16255,0,17775,17621,3193,6577,5943,5831,6114,1021,1309,8430,11132,18389,892,4656,4955,4816,3372,10416,3603,2587,9198,6612,1815,406,2589,5046,4015,459,2552,4233,1698,8160,5672,8091,6914,15970,14830,3622,659,1848,7594,7923
16724,20170,19360,8541,7477,5986,11577,18715,12686,13158,15344,7343,9062,16624,19860,20107,16089,14154,22788,21602,21963,15965,16437,16843,5731,1522,17775,0,474,15027,11728,12119,12005,11802,17615,17788,9389,6645,649,17064,13198,13041,12961,14444,7433,14387,15212,9416,12025,19249,17971,15774,13265,13768,18208,17917,13798,16246,9737,12202,9740,10919,2177,2956,14502,17130,19605,10773,10200
16636,20023,19201,8346,7376,5855,11443,18584,12511,12968,15170,7298,9015,16519,19726,19970,15932,13993,22606,21419,21819,15851,16302,16701,5517,1411,17621,474,0,14920,11661,12025,11829,11611,17487,17668,9210,6492,1016,16897,13072,12933,12814,14307,7239,14269,15050,9407,11978,19121,17827,15666,13182,13624,18050,17829,13688,16113,9637,12083,9558,10740,1829,2795,14307,16973,19457,10722,10131
1832,5345,4716,6892,7550,9070,3549,3777,3145,3202,2251,7781,6122,1599,4925,5190,2006,1958,8315,7193,7068,965,1707,2185,9612,13524,3193,15027,14920,0,3465,2927,3687,4097,2678,2793,5973,8466,15618,2918,1930,1987,2412,1141,7904,724,1838,6085,3434,4283,3222,747,1888,1739,3648,2976,1233,1501,5291,2851,5681,4611,13371,12131,2941,2717,4810,4491,4912
5021,8808,8145,4276,4323,5888,1675,7242,2983,3581,4722,4399,2695,5004,8388,8654,5076,3538,11740,10595,10532,4430,5100,5566,6621,10251,6577,11728,11661,3465,0,765,2823,3167,6144,6249,3480,5377,12297,6107,2126,1669,2420,3318,5060,2975,4395,2625,603,7742,6658,4194,1588,2908,7036,6212,2347,4892,2138,1375,3340,2866,10223,8905,4538,6016,8268,1026,1530
4612,8227,7525,4276,4650,6192,1175,6688,2263,2842,3983,4854,3209,4513,7839,8100,4390,2782,11107,9952,9977,3885,4485,4940,6823,10623,5943,12119,12025,2927,765,0,2196,2583,5583,5717,3404,5624,12704,5425,1383,988,1656,2620,5177,2353,3671,3276,1204,7203,6052,3673,1184,2160,6400,5805,1729,4280,2390,646,3195,2473,10520,9245,3772,5359,7678,1684,1993
