TaskID,WaitTimeOrDetourTime
213,0.345000
214,0.000000
215,0.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
220,0.000000
221,0.000000
222,5.000000
223,0.000000
224,4.000000
225,0.000000
226,4.000000
227,0.444000
228,5.000000
229,0.146000
230,8.928000
231,5.553000
232,4.000000
233,0.000000
234,0.000000
235,0.000000
236,0.000000
237,0.000000
238,0.000000
239,0.000000
240,0.000000
241,0.000000
242,0.000000
243,0.000000
244,9.928000
245,9.744000
246,4.000000
247,0.000000
248,0.000000
249,0.000000
250,4.928000
251,7.655000
252,5.928000
253,6.928000
254,8.000000
255,9.493000
256,2.000000
257,0.000000
258,3.000000
259,0.000000
260,6.000000
261,1.313000
262,4.000000
263,0.251000
264,4.000000
265,3.657000
266,5.928000
267,0.000000
268,9.928000
269,0.000000
270,5.000000
271,0.000000
272,0.000000
273,0.000000
274,4.000000
275,0.000000
276,0.000000
277,0.000000
278,7.583000
279,9.868000
280,8.000000
281,0.000000
282,0.000000
283,0.000000
284,4.000000
285,0.000000
286,9.511001
287,6.867000
288,0.000000
289,0.000000
290,9.000000
291,0.000000
292,0.000000
293,0.000000
294,7.583000
295,9.442000
296,4.000000
297,4.843000
298,4.000000
299,0.000000
300,4.000000
301,0.000000
302,4.000000
303,0.000000
304,8.583000
305,9.569000
306,4.000000
307,0.000000
308,0.000000
309,0.000000
310,4.000000
311,0.000000
312,4.000000
313,0.000000
314,0.000000
315,0.000000
316,8.000000
317,0.000000
318,6.000000
319,0.000000
320,4.000000
321,0.000000
322,0.000000
323,0.000000
324,9.928000
325,0.000000
326,8.583000
327,0.506000
328,6.928000
329,0.000000
330,4.000000
331,0.000000
332,0.000000
333,0.000000
334,4.000000
335,0.000000
336,0.000000
337,0.000000
338,4.000000
339,0.000000
340,0.000000
341,0.000000
342,4.000000
343,0.000000
344,4.000000
345,0.000000
346,4.000000
347,0.000000
348,4.000000
349,0.000000
350,4.000000
351,0.000000
352,9.583000
353,0.000000
354,6.000000
355,0.000000
356,4.000000
357,0.000000
358,6.928000
359,7.858000
360,4.000000
361,0.000000
362,0.000000
363,0.000000
364,8.583000
365,4.000000
366,4.000000
367,0.000000
368,0.000000
369,0.000000
370,4.583000
371,0.000000
372,8.000000
373,0.000000
374,5.928000
375,9.578000
376,4.000000
377,7.013000
378,6.928000
379,8.000000
380,5.928000
381,0.000000
382,8.511001
383,0.000000
384,9.928000
385,0.000000
386,9.583000
387,7.959001
388,9.000000
389,9.957001
390,1.000000
391,8.000000
392,0.000000
393,0.000000
394,6.000000
395,0.000000
396,4.000000
397,0.000000
398,0.000000
399,0.000000
400,2.000000
401,8.060000
402,4.000000
403,0.000000
404,4.000000
405,0.000000
406,3.928000
407,8.582001
408,0.000000
409,0.000000
410,0.000000
411,0.000000
412,4.000000
413,1.359000
414,9.857000
415,0.000000
416,0.000000
417,0.000000
418,0.000000
419,0.000000
420,0.000000
421,0.000000
422,4.000000
423,9.340000
424,0.000000
425,0.000000
426,0.000000
427,0.000000
428,4.000000
429,0.000000
430,4.000000
431,0.000000
432,9.511001
433,0.000000
434,4.000000
435,7.747000
436,0.000000
437,0.000000
438,0.000000
439,0.000000
440,4.000000
441,0.000000
442,6.928000
443,2.583000
444,4.000000
445,0.000000
446,0.000000
447,0.000000
448,8.583000
449,8.345000
450,4.583000
451,0.345000
452,8.928000
453,0.000000
454,4.000000
455,0.000000
456,0.000000
457,0.000000
458,8.000000
459,0.000000
460,0.000000
461,0.000000
462,4.000000
463,0.000000
464,4.583000
465,0.000000
466,4.000000
467,0.000000
468,9.583000
469,9.578000
470,2.000000
471,0.000000
472,8.583000
473,8.000000
474,5.000000
475,0.456000
476,4.000000
477,8.000000
478,0.000000
479,0.000000
480,2.000000
481,1.446000
482,0.000000
483,0.000000
484,2.000000
485,0.000000
486,4.000000
487,6.684000
488,6.928000
489,0.000000
490,0.000000
491,0.000000
492,4.000000
493,6.836000
494,4.000000
495,1.417000
496,8.000000
497,8.000000
498,6.928000
499,8.727000
500,9.928000
501,9.417001
502,2.000000
503,0.000000
504,7.583000
505,0.000000
506,8.000000
507,2.895000
508,0.000000
509,0.000000
510,0.000000
511,0.000000
512,7.000000
513,0.000000
514,6.928000
515,8.279000
516,2.000000
517,0.000000
518,9.583000
519,0.000000
520,4.000000
521,0.000000
522,4.000000
523,0.000000
524,5.928000
525,8.303000
526,7.000000
527,8.253000
528,0.856000
529,0.000000
530,8.440001
531,0.000000
532,7.000000
533,7.583000
534,0.000000
535,0.000000
536,4.000000
537,0.444000
538,1.000000
539,8.695001
540,9.583000
541,5.072000
542,9.583000
543,7.546000
544,8.928000
545,8.000000
546,7.000000
547,0.000000
548,8.422000
549,0.000000
550,4.000000
551,7.579000
552,4.000000
553,0.000000
554,8.583000
555,6.583000
556,0.000000
557,0.000000
558,8.000000
559,4.598000
560,0.000000
561,0.000000
562,0.000000
