TaskID,FinishTime
227,28.300920
228,9.000000
229,31.539001
230,7.000000
231,26.287399
232,9.000000
233,31.538960
234,7.000000
235,39.187119
236,9.000000
237,19.583080
238,7.000000
239,26.078918
240,7.000000
241,10.464120
242,7.000000
243,16.165199
244,7.000000
245,47.447762
246,7.000000
247,11.000040
248,9.000000
249,19.583080
250,8.000000
251,11.464120
252,8.000000
253,14.000040
254,8.000000
255,16.717840
256,17.646080
257,19.646080
258,9.000000
259,17.717840
260,8.000000
261,55.623840
262,10.000000
263,25.874599
264,10.000000
265,25.099762
266,10.000000
267,22.490040
268,8.000000
269,11.464120
270,8.000000
271,12.000040
272,8.000000
273,34.000122
274,10.000000
275,24.000080
276,8.000000
277,18.583040
278,8.000000
279,28.784721
280,-1.000000
281,-1.000000
282,8.000000
283,11.464120
284,11.000000
285,23.000080
286,9.000000
287,30.166122
288,9.000000
289,21.165600
290,9.000000
291,14.291519
292,9.000000
293,15.000040
294,9.000000
295,20.135601
296,11.000000
297,41.789803
298,13.291560
299,24.755718
300,11.000000
301,23.165600
302,11.000000
303,18.211161
304,9.000000
305,27.330399
306,11.000000
307,20.165199
308,9.000000
309,17.717840
310,18.422321
311,25.713840
312,11.000000
313,21.000040
314,9.000000
315,14.291519
316,19.291559
317,25.291599
318,10.000000
319,14.000040
320,12.000000
321,20.000040
322,10.000000
323,16.928240
324,10.000000
325,28.330399
326,16.219759
327,23.430920
328,12.000000
329,26.000080
330,12.000000
331,24.490040
332,10.000000
333,15.291519
334,18.000080
335,27.464239
336,10.000000
337,12.000000
338,12.000000
339,19.211161
340,10.000000
341,24.000080
342,13.000000
343,45.187164
344,-1.000000
345,-1.000000
346,13.000000
347,22.165199
348,13.000000
349,30.776482
350,13.000000
351,16.464119
352,11.000000
353,14.464119
354,11.000000
355,18.211161
356,13.000000
357,30.088081
358,20.422321
359,37.879440
360,13.000000
361,67.442963
362,11.000000
363,13.000000
364,11.000000
365,21.583080
366,13.000000
367,19.928240
368,11.000000
369,14.464119
370,11.000000
371,37.153561
372,13.000000
373,16.464119
374,14.000000
375,21.211161
376,14.000000
377,21.211161
378,12.000000
379,17.291519
380,12.000000
381,20.717840
382,14.000000
383,18.000000
384,12.000000
385,18.000040
386,14.000000
387,25.135601
388,18.219759
389,37.683998
390,14.000000
391,21.211161
392,12.000000
393,43.432640
394,12.000000
395,29.320602
396,14.000000
397,21.211161
398,12.000000
399,18.928240
400,12.000000
401,22.392361
402,15.291560
403,19.291599
404,15.000000
405,44.712959
406,13.000000
407,25.165600
408,13.000000
409,21.717840
410,13.000000
411,17.000040
412,15.000000
413,32.320602
414,20.000080
415,25.291599
416,13.000000
417,18.291519
418,13.000000
419,17.000040
420,13.000000
421,16.464119
422,15.000000
423,60.525917
424,13.000000
425,23.583080
426,13.000000
427,16.464119
428,14.000000
429,21.211161
430,14.000000
431,23.165199
432,18.464119
433,25.392357
434,16.000000
435,26.583080
436,14.000000
437,36.539001
438,14.000000
439,17.464119
440,16.000000
441,21.291519
442,14.000000
443,22.000040
444,16.000000
445,19.464119
446,16.000000
447,26.000038
448,23.929001
449,31.929039
450,-1.000000
451,-1.000000
452,14.000000
453,24.000080
454,15.000000
455,22.211161
456,14.000000
457,20.000040
458,-1.000000
459,-1.000000
460,17.000000
461,45.356796
462,15.000000
463,22.211121
464,17.000000
465,21.000000
466,17.000000
467,20.464119
468,15.000000
469,22.211121
470,-1.000000
471,-1.000000
472,15.000000
473,17.000000
474,17.000000
475,39.379601
476,24.000120
477,43.835037
478,17.000000
479,20.464119
480,-1.000000
481,-1.000000
482,15.000000
483,26.135601
484,-1.000000
485,-1.000000
486,15.000000
487,28.114960
488,17.000000
489,22.291519
490,16.000000
491,20.000040
492,-1.000000
493,-1.000000
494,17.000000
495,22.291519
496,25.929001
497,29.929039
498,-1.000000
499,-1.000000
500,16.000000
501,21.291519
502,17.000000
503,22.291519
504,16.000000
505,21.291519
506,16.000000
507,27.135601
508,16.000000
509,28.165600
510,18.000000
511,21.464119
512,22.219799
513,34.219879
514,-1.000000
515,-1.000000
516,17.000000
517,22.291519
518,19.000000
519,23.000000
520,19.000000
521,30.135559
522,19.000000
523,40.071442
524,-1.000000
525,-1.000000
526,-1.000000
527,-1.000000
528,17.000000
529,23.928240
530,19.000000
531,29.000038
532,21.928238
533,42.712959
534,17.000000
535,25.000038
536,17.000000
537,36.078880
538,-1.000000
539,-1.000000
540,18.000000
541,21.464119
542,18.000000
543,28.392361
544,18.000000
545,21.464119
546,20.000000
547,26.928238
548,18.000000
549,44.457680
550,23.110199
551,54.022316
552,18.000000
553,33.099762
554,20.000000
555,26.000038
556,18.000000
557,20.000000
558,-1.000000
559,-1.000000
560,18.000000
