TaskID,WaitTimeOrDetourTime
172,5.292000
173,0.000000
174,2.000000
175,0.000000
176,8.292001
177,9.967000
178,2.000000
179,0.000000
180,3.292000
181,5.292000
182,3.928000
183,4.210000
184,2.000000
185,0.000000
186,3.292000
187,1.464000
188,3.464000
189,0.000000
190,3.464000
191,0.000000
192,2.000000
193,6.881001
194,5.292000
195,2.998000
196,7.292000
197,1.227000
198,-1.000000
199,-1.000000
200,-1.000000
201,-1.000000
202,2.000000
203,0.000000
204,2.000000
205,0.000000
206,9.220000
207,8.000000
208,-1.000000
209,-1.000000
210,2.000000
211,0.000000
212,2.000000
213,6.173000
214,2.000000
215,4.756000
216,2.000000
217,1.291000
218,2.292000
219,0.000000
220,5.583000
221,0.729000
222,5.292000
223,0.000000
224,3.000000
225,5.301000
226,3.928000
227,0.222000
228,5.292000
229,0.000000
230,4.464000
231,8.548000
232,-1.000000
233,-1.000000
234,1.000000
235,7.822001
236,2.000000
237,0.000000
238,3.464000
239,0.000000
240,1.000000
241,0.000000
242,3.464000
243,5.055000
244,8.464001
245,0.000000
246,2.000000
247,0.000000
248,5.292000
249,0.000000
250,4.928000
251,0.000000
252,6.292000
253,8.756001
254,5.928000
255,8.493000
256,7.000000
257,2.000000
258,2.928000
259,0.000000
260,1.292000
261,1.161000
262,2.000000
263,0.125000
264,-1.000000
265,-1.000000
266,2.000000
267,0.000000
268,5.292000
269,0.000000
270,2.000000
271,0.000000
272,7.928000
273,8.359000
274,2.000000
275,0.000000
276,6.928000
277,6.345000
278,5.292000
279,7.765000
280,9.000000
281,6.283000
282,9.756001
283,5.827000
284,3.464000
285,0.000000
286,2.000000
287,0.000000
288,6.756001
289,8.291000
290,3.464000
291,0.000000
292,6.756001
293,0.000000
294,-1.000000
295,-1.000000
296,8.583000
297,9.207001
298,-1.000000
299,-1.000000
300,0.000000
301,0.000000
302,2.000000
303,0.000000
304,3.000000
305,1.670000
306,9.009001
307,3.510000
308,-1.000000
309,-1.000000
310,-1.000000
311,-1.000000
312,3.464000
313,5.684000
314,-1.000000
315,-1.000000
316,5.583000
317,4.756000
318,7.292000
319,7.292000
320,2.000000
321,0.000000
322,0.000000
323,0.000000
324,9.165000
325,0.000000
326,8.646001
327,1.717000
328,6.756001
329,0.503000
330,5.756000
331,3.557000
332,3.000000
333,0.000000
334,-1.000000
335,-1.000000
336,0.000000
337,0.000000
338,-1.000000
339,-1.000000
340,6.583000
341,0.000000
342,-1.000000
343,-1.000000
344,-1.000000
345,-1.000000
346,0.000000
347,0.000000
348,2.000000
349,0.000000
350,2.000000
351,6.000000
352,6.292000
353,2.536000
354,-1.000000
355,-1.000000
356,3.464000
357,0.000000
358,-1.000000
359,-1.000000
360,2.000000
361,6.907001
362,-1.000000
363,-1.000000
364,1.292000
365,3.874000
366,3.928000
367,0.000000
368,5.292000
369,0.000000
370,0.000000
371,0.000000
372,-1.000000
373,-1.000000
374,9.292001
375,7.372000
376,-1.000000
377,-1.000000
378,-1.000000
379,-1.000000
380,-1.000000
381,-1.000000
382,4.464000
383,0.000000
384,-1.000000
385,-1.000000
386,-1.000000
387,-1.000000
388,-1.000000
389,-1.000000
390,9.473001
391,4.000000
392,3.000000
393,2.857000
394,2.000000
395,0.000000
396,3.464000
397,0.000000
398,0.000000
399,0.000000
400,-1.000000
401,-1.000000
402,-1.000000
403,-1.000000
404,-1.000000
405,-1.000000
406,5.756000
407,6.417000
408,3.464000
409,0.000000
410,0.000000
411,0.000000
412,-1.000000
413,-1.000000
414,9.110001
415,2.173000
416,-1.000000
417,-1.000000
418,3.464000
419,0.000000
420,2.292000
421,0.000000
422,-1.000000
423,-1.000000
424,4.756000
425,5.101000
426,0.000000
427,0.000000
428,8.047000
429,0.000000
430,4.756000
431,5.055000
432,-1.000000
433,-1.000000
434,-1.000000
435,-1.000000
436,0.000000
437,0.000000
438,2.292000
439,0.000000
440,4.464000
441,0.000000
442,4.684000
443,4.000000
444,2.000000
445,0.000000
446,-1.000000
447,-1.000000
448,-1.000000
449,-1.000000
450,-1.000000
451,-1.000000
452,-1.000000
453,-1.000000
454,-1.000000
455,-1.000000
456,0.000000
457,0.000000
458,9.675000
459,9.464001
460,2.000000
461,9.464001
462,3.464000
463,7.717000
464,-1.000000
465,-1.000000
466,3.464000
467,0.000000
468,2.756000
469,5.009000
470,-1.000000
471,-1.000000
472,4.000000
473,0.000000
474,-1.000000
475,-1.000000
476,-1.000000
477,-1.000000
478,8.853001
479,0.000000
480,-1.000000
481,-1.000000
482,2.000000
483,0.000000
484,-1.000000
485,-1.000000
486,-1.000000
487,-1.000000
488,2.583000
489,0.000000
490,0.000000
491,0.000000
492,-1.000000
493,-1.000000
494,5.000000
495,0.173000
496,0.000000
497,0.000000
498,-1.000000
499,-1.000000
500,7.967000
501,6.928000
502,-1.000000
503,-1.000000
504,9.574000
505,6.000000
506,-1.000000
507,-1.000000
508,3.464000
509,0.000000
510,-1.000000
511,-1.000000
512,-1.000000
513,-1.000000
514,9.292001
515,8.009001
516,6.928000
517,0.173000
518,3.756000
519,0.000000
520,3.464000
521,0.076000
522,2.000000
523,0.000000
524,8.292001
525,8.021000
526,-1.000000
527,-1.000000
528,3.756000
529,0.000000
530,9.629001
531,0.000000
532,-1.000000
533,-1.000000
