tpep_pickup_datetime,pickup_longitude,pickup_latitude
2016/3/1 18:00,-73.97064209,40.75501251
2016/3/1 18:00,-73.99017334,40.73191071
2016/3/1 18:00,-73.99195099,40.73833466
2016/3/1 18:00,-73.98202515,40.77167892
2016/3/1 18:00,-74.00182343,40.73044968
2016/3/1 18:00,-73.9776001,40.75323868
2016/3/1 18:00,-73.97476196,40.76366043
2016/3/1 18:00,-73.96900177,40.75903702
2016/3/1 18:00,-73.99565887,40.72449493
2016/3/1 18:00,-73.94573975,40.75169754
2016/3/1 18:00,-73.95419312,40.76594162
2016/3/1 18:00,-73.98902893,40.74786377
2016/3/1 18:00,-73.97055054,40.7590065
2016/3/1 18:00,-73.9677887,40.79463577
2016/3/1 18:00,-73.99370575,40.74585724
2016/3/1 18:00,-74.01524353,40.70821381
2016/3/1 18:00,-73.98686981,40.75566101
2016/3/1 18:00,-73.9992981,40.75350952
2016/3/1 18:00,-74.00515747,40.72723389
2016/3/1 18:00,-73.98118591,40.7461586
2016/3/1 18:00,-73.94981384,40.77580261
2016/3/1 18:00,-73.97374725,40.75680542
2016/3/1 18:00,-73.99884033,40.72357178
2016/3/1 18:00,-73.9920578,40.74523926
2016/3/1 18:00,-73.97242737,40.74388123
2016/3/1 18:00,-73.99992371,40.72171402
2016/3/1 18:00,-73.96386719,40.76134109
2016/3/1 18:00,-73.96244049,40.77009201
2016/3/1 18:00,-73.77684021,40.64505386
2016/3/1 18:00,-73.99188995,40.74430084
2016/3/1 18:00,-73.96932983,40.76371384
2016/3/1 18:00,-73.98150635,40.76582336
2016/3/1 18:00,-73.98748779,40.75520325
2016/3/1 18:00,-73.97866821,40.78243256
2016/3/1 18:00,-73.99465942,40.75257874
2016/3/1 18:00,-73.97999573,40.75916672
2016/3/1 18:00,-73.97470856,40.74992371
2016/3/1 18:00,-74.00548553,40.74831772
2016/3/1 18:00,-74.01145172,40.70312881
2016/3/1 18:00,-73.95806885,40.78173447
2016/3/1 18:00,-73.96513367,40.75933838
2016/3/1 18:00,-73.98287201,40.76651764
2016/3/1 18:00,-73.99549866,40.74406433
2016/3/1 18:00,-73.97161102,40.76015854
2016/3/1 18:00,-73.9848938,40.75783157
2016/3/1 18:00,-73.99868011,40.71723938
2016/3/1 18:00,-74.01030731,40.71936035
2016/3/1 18:00,-73.96985626,40.78472137
2016/3/1 18:00,-73.99298096,40.73669815
2016/3/1 18:00,-74.0076828,40.70473862
2016/3/1 18:00,-73.97704315,40.75231171
2016/3/1 18:00,-73.96544647,40.79073334
2016/3/1 18:00,-73.98696136,40.77616119
2016/3/1 18:00,-73.98297882,40.76086044
2016/3/1 18:00,-73.95397949,40.77883911
2016/3/1 18:00,-73.962883,40.77482986
2016/3/1 18:00,-73.96455383,40.76404953
2016/3/1 18:00,-73.94585419,40.77781677
2016/3/1 18:00,-73.95636749,40.77539063
2016/3/1 18:00,-73.98440552,40.75597382
2016/3/1 18:00,-73.98544312,40.75820923
2016/3/1 18:00,-73.97610474,40.75926208
2016/3/1 18:00,-73.99008942,40.74030304
2016/3/1 18:00,-73.96073914,40.76073837
2016/3/1 18:00,-73.9678421,40.80285645
2016/3/1 18:00,-73.97795868,40.76263809
2016/3/1 18:00,-73.97937012,40.76063919
2016/3/1 18:00,-74.00570679,40.72546005
2016/3/1 18:00,-73.98962402,40.75788116
2016/3/1 18:00,-73.98417664,40.7700386
2016/3/1 18:00,-73.95436096,40.80585861
2016/3/1 18:00,-73.95819855,40.77568817
2016/3/1 18:00,-73.98149872,40.74396133
2016/3/1 18:00,-73.98612213,40.74598312
2016/3/1 18:00,-73.95163727,40.78190613
2016/3/1 18:00,-73.96690369,40.77251816
2016/3/1 18:00,-73.9786377,40.76238632
2016/3/1 18:00,-73.98519135,40.75053024
2016/3/1 18:00,-73.97483063,40.74869156
2016/3/1 18:00,-73.95913696,40.77843094
2016/3/1 18:00,-73.97109985,40.76028824
2016/3/1 18:00,-73.97812653,40.74849319
2016/3/1 18:00,-73.97225952,40.76240158
2016/3/1 18:00,-73.96450043,40.79198837
2016/3/1 18:00,-73.9499588,40.77182388
2016/3/1 18:00,-73.96658325,40.78933334
2016/3/1 18:00,-73.86347961,40.76966095
2016/3/1 18:00,-73.99359131,40.74644089
2016/3/1 18:00,-73.98628235,40.74588013
2016/3/1 18:00,-74.00148773,40.73759842
2016/3/1 18:00,-73.98493195,40.74761581
2016/3/1 18:00,-73.97870636,40.75529099
