tpep_dropoff_datetime,dropoff_longitude,dropoff_latitude
2016/3/1 18:06,-73.95423126,40.7640686
2016/3/1 18:26,-73.95017242,40.78723145
2016/3/1 18:08,-74.00030518,40.73028564
2016/3/1 18:19,-73.97749329,40.78625107
2016/3/1 18:07,-73.98081207,40.77362823
2016/3/1 18:48,-73.8868866,40.81894302
2016/3/1 18:06,-73.96115112,40.77096939
2016/3/1 18:14,-73.98378754,40.76741409
2016/3/1 18:09,-73.97426605,40.74422455
2016/3/1 18:25,-73.95480347,40.765728
2016/3/1 18:08,-73.98003387,40.78089523
2016/3/1 18:06,-73.97585297,40.74996948
2016/3/1 18:18,-74.00576782,40.74029922
2016/3/1 18:24,-74.01464844,40.70975113
2016/3/1 18:15,-73.9602356,40.77136993
2016/3/1 18:10,-74.00419617,40.74238968
2016/3/1 18:08,-73.96500397,40.75295258
2016/3/1 18:05,-73.99679565,40.75248718
2016/3/1 18:08,-73.99804688,40.7353096
2016/3/1 18:06,-73.96842957,40.76774216
2016/3/1 18:11,-73.99053192,40.71761322
2016/3/1 18:05,-73.99054718,40.72666168
2016/3/1 18:10,-73.98532104,40.76315308
2016/3/1 18:08,-73.98227692,40.77579117
2016/3/1 18:08,-73.96299744,40.77669525
2016/3/1 18:06,-73.94903564,40.78153229
2016/3/1 18:23,-73.97153473,40.75396729
2016/3/1 18:06,-73.94174957,40.78691864
2016/3/1 18:18,-73.98262787,40.76610565
2016/3/1 18:08,-73.979599,40.77122879
2016/3/1 18:31,-73.87099457,40.77424622
2016/3/1 18:16,-73.96647644,40.76729965
2016/3/1 18:04,-73.96656799,40.7702713
2016/3/1 18:16,-73.95856476,40.78162766
2016/3/1 18:21,-73.97234344,40.78645706
2016/3/1 18:07,-73.97834778,40.6842308
2016/3/1 18:49,-73.97600555,40.75195694
2016/3/1 18:07,-73.98040771,40.75397873
2016/3/1 18:08,-73.99542236,40.73897934
2016/3/1 18:08,-74.00293732,40.75534821
2016/3/1 18:08,-74.00788879,40.7468605
2016/3/1 18:04,-73.9699173,40.76249695
2016/3/1 18:14,-73.99126434,40.75021362
2016/3/1 18:25,-73.87117004,40.77413177
2016/3/1 18:07,-73.98795319,40.75954819
2016/3/1 18:15,-73.99093628,40.75540161
2016/3/1 18:24,-74.00953674,40.70544052
2016/3/1 18:04,-73.98709106,40.74485016
2016/3/1 18:07,-73.94080353,40.69997025
2016/3/1 18:07,-73.96621704,40.789814
2016/3/1 18:08,-73.98394012,40.76831436
2016/3/1 18:23,-73.9781723,40.75349045
2016/3/1 18:19,-73.9683609,40.77069855
2016/3/1 18:04,-73.95883179,40.7754097
2016/3/1 18:03,-73.94670105,40.78073502
2016/3/1 18:06,-73.95386505,40.77908325
2016/3/1 18:05,-73.97234344,40.75920868
2016/3/1 18:03,-73.95331573,40.78841019
2016/3/1 18:03,-73.96607208,40.76484299
2016/3/1 18:17,-73.97405243,40.74406052
2016/3/1 18:16,-73.96195221,40.75973129
2016/3/1 18:07,-73.96736908,40.77204895
2016/3/1 18:10,-73.98169708,40.77462006
2016/3/1 18:11,-73.97728729,40.76428986
2016/3/1 18:10,-73.97727966,40.75242996
2016/3/1 18:06,-73.99458313,40.73814011
2016/3/1 18:16,-73.98970795,40.72571564
2016/3/1 18:26,-73.99429321,40.7649498
2016/3/1 18:08,-73.99897766,40.7439003
2016/3/1 18:05,-74.00320435,40.73503113
2016/3/1 18:02,-73.95394135,40.77021027
2016/3/1 18:45,-74.1772995,40.69095993
2016/3/1 18:13,-73.98802185,40.75963593
2016/3/1 18:11,-73.99145508,40.74871826
2016/3/1 18:11,-73.97886658,40.74111176
2016/3/1 18:16,-73.9589386,40.76325989
2016/3/1 18:09,-73.95140839,40.77400208
2016/3/1 18:12,-73.98795319,40.7322731
2016/3/1 18:17,-73.99957275,40.74113083
2016/3/1 18:11,-74.00613403,40.72318268
2016/3/1 18:07,-73.97707367,40.75876617
2016/3/1 18:08,-73.939888,40.80532455
2016/3/1 18:04,-73.95033264,40.78652191
2016/3/1 18:23,-73.970047,40.78958893
2016/3/1 18:15,-73.95704651,40.77780914
2016/3/1 18:16,-73.98389435,40.71742249
2016/3/1 18:05,-73.95406342,40.76401138
2016/3/1 18:06,-73.99822235,40.73804855
2016/3/1 18:04,-73.96331787,40.75456238
2016/3/1 18:12,-73.93948364,40.80409241
2016/3/1 18:21,-73.99902344,40.74391937
2016/3/1 18:13,-73.97032928,40.7891922
2016/3/1 18:20,-73.9886322,40.77418137
2016/3/1 18:11,-73.92245483,40.74536133
2016/3/1 18:24,-73.98889923,40.72045898
2016/3/1 18:30,-73.99848175,40.68599701
2016/3/1 18:11,-74.00177002,40.73534012
2016/3/1 18:11,-73.96892548,40.80007172
2016/3/1 18:20,-73.98038483,40.77823257
2016/3/1 18:24,-73.98719788,40.74598312
2016/3/1 18:04,-73.95423889,40.77909088
2016/3/1 18:49,-73.90286255,40.82345963
2016/3/1 18:05,-73.94841766,40.82450867
2016/3/1 18:08,-73.97325897,40.75341034
2016/3/1 18:03,-73.95324707,40.7751503
2016/3/1 18:03,-73.98214722,40.77555847
2016/3/1 18:03,-73.94564056,40.78369522
2016/3/1 18:18,-73.98660278,40.72991943
2016/3/1 18:16,-74.00752258,40.7434082
2016/3/1 18:23,-73.96761322,40.79224396
2016/3/1 18:20,-73.99155426,40.74925995
2016/3/1 18:11,-73.95411682,40.80840683
2016/3/1 18:09,-73.97111511,40.76276016
2016/3/1 18:14,-73.98906708,40.74411011
2016/3/1 18:11,-73.99316406,40.73848724
2016/3/1 18:13,-74.00497437,40.71653748
2016/3/1 18:24,-73.98474121,40.77446747
2016/3/1 18:12,-73.95458221,40.78829193
2016/3/1 18:15,-73.96614838,40.69346619
2016/3/1 18:33,-73.99095917,40.75043869
2016/3/1 18:12,-73.98238373,40.77111816
2016/3/1 18:05,-73.99155426,40.74518204
2016/3/1 18:19,-73.92502594,40.75866318
2016/3/1 18:12,-73.974823,40.76184845
