TaskID,FinishTime
548,18.000000
549,40.539001
550,19.291519
551,21.291519
552,20.000000
553,51.048561
554,18.000000
555,28.583080
556,18.000000
557,44.457680
558,19.000000
559,26.211159
560,20.000000
561,24.000040
562,18.000000
563,24.000040
564,20.000000
565,42.538956
566,20.000000
567,29.165199
568,20.000000
569,33.114960
570,21.291519
571,26.583038
572,19.000000
573,27.717842
574,19.000000
575,22.464119
576,21.291519
577,38.391281
578,19.000000
579,31.165600
580,22.464119
581,32.464157
582,21.000000
583,28.464157
584,20.000040
585,28.717882
586,19.000000
587,37.000080
588,21.000000
589,26.291519
590,23.000040
591,36.856522
592,22.464119
593,26.464119
594,23.000040
595,30.211199
596,21.291519
597,28.502678
598,19.000000
599,26.211159
600,21.000000
601,24.464119
602,21.000000
603,27.928238
604,22.000000
605,54.924362
606,20.000000
607,61.761520
608,20.000000
609,53.045639
610,21.291519
611,23.291519
612,21.000000
613,24.464119
614,20.000000
615,23.464119
616,22.000000
617,49.495636
618,22.000000
619,41.078918
620,22.464119
621,24.464119
622,22.000000
623,26.000040
624,23.464119
625,44.248840
626,20.000000
627,25.291519
628,21.000000
629,42.071442
630,21.000000
631,31.583038
632,23.000000
633,27.000040
634,21.291519
635,50.881363
636,21.000000
637,23.000000
638,21.000000
639,48.785042
640,21.000000
641,23.000000
642,23.000000
643,38.620598
644,21.000000
645,25.000040
646,23.000000
647,61.157799
648,21.000000
649,28.211159
650,22.000000
651,45.065239
652,24.000000
653,29.291519
654,22.000000
655,34.490040
656,22.000000
657,43.633438
658,23.928238
659,29.219757
660,24.928240
661,30.219759
662,24.000000
663,31.211121
664,23.464119
665,27.464119
666,24.000000
667,53.461998
668,22.000000
669,30.717842
670,22.000000
671,55.406799
672,24.000000
673,29.291519
674,24.000000
675,31.211159
676,22.000000
677,28.928238
678,23.000000
679,25.000000
680,25.000000
681,49.248840
682,25.000000
683,28.464119
684,23.000000
685,27.000000
686,23.000000
687,29.000038
688,23.000000
689,40.320602
690,23.000000
691,25.000000
692,25.000000
693,33.717842
694,25.000000
695,35.583080
696,23.000000
697,35.165600
698,24.000000
699,34.392361
700,26.000000
701,31.291519
702,24.000000
703,31.211159
704,24.000000
705,30.000038
706,24.000000
707,31.211121
708,24.000000
709,27.464119
710,26.000000
