RequestID,Cost,Reward,Wait_Time,Detour_Time
80,0.000000,13.076760,0.000000,0.000000
81,0.200005,25.794359,0.500000,0.000000
82,0.000000,6.538380,0.000000,0.000000
83,0.000000,0.000000,0.000000,0.000000
84,0.000000,6.000030,0.000000,0.000000
85,0.000000,5.408370,0.000000,0.000000
86,0.000000,36.496830,0.000000,0.000000
87,0.000000,28.736040,0.000000,0.000000
88,0.000000,16.703400,0.000000,0.000000
89,0.000000,13.076760,0.000000,0.000000
90,0.000000,11.905951,0.000000,0.000000
91,0.000000,3.968640,0.000000,0.000000
92,0.000000,2.598090,0.000000,0.000000
93,0.000000,1.500000,0.000000,0.000000
94,0.711445,29.880480,1.000000,0.000000
95,0.000000,4.500030,0.000000,0.000000
96,0.000000,0.000000,0.000000,0.000000
97,0.000000,12.990450,0.000000,0.000000
98,0.000000,0.000000,0.000000,0.000000
99,0.000000,8.351700,0.000000,0.000000
100,0.000000,5.408370,0.000000,0.000000
101,0.000000,10.500060,0.000000,0.000000
102,0.000000,6.873900,0.000000,0.000000
103,0.000000,0.000000,0.000000,0.000000
104,0.000000,0.000000,0.000000,0.000000
105,0.000000,0.000000,0.000000,0.000000
106,0.000000,4.500030,0.000000,0.000000
107,0.000000,0.000000,0.000000,0.000000
108,0.000000,6.873900,0.000000,0.000000
109,0.000000,3.968640,0.000000,0.000000
110,0.000000,0.000000,0.000000,0.000000
111,0.000000,0.000000,0.000000,0.000000
112,0.791405,10.535370,0.500000,0.000000
113,0.000000,3.968640,0.000000,0.000000
114,0.000000,3.968640,0.000000,0.000000
115,0.000000,11.715420,0.000000,0.000000
116,0.000000,4.500030,0.000000,0.000000
117,0.000000,16.904249,0.000000,0.000000
118,0.000000,0.000000,0.000000,0.000000
119,0.000000,16.904221,0.000000,0.000000
120,0.000000,19.615170,0.000000,0.000000
121,0.000000,6.538380,0.000000,0.000000
122,0.000000,2.598090,0.000000,0.000000
123,0.000000,0.000000,0.000000,0.000000
124,0.000000,0.000000,0.000000,0.000000
125,0.000000,2.598090,0.000000,0.000000
126,0.394466,57.685020,0.750000,0.000000
127,0.000000,3.000030,0.000000,0.000000
128,0.000000,0.000000,0.000000,0.000000
129,0.000000,5.408370,0.000000,0.000000
130,0.000000,3.968640,0.000000,0.000000
131,0.000000,0.000000,0.000000,0.000000
132,0.000000,12.278100,0.000000,0.000000
133,0.000000,2.598090,0.000000,0.000000
134,0.000000,10.500060,0.000000,0.000000
135,0.000000,0.000000,0.000000,0.000000
136,0.000000,0.000000,0.000000,0.000000
137,0.000000,7.794270,0.000000,0.000000
138,0.000000,0.000000,0.000000,0.000000
139,0.000000,3.968640,0.000000,0.000000
140,0.000000,7.794270,0.000000,0.000000
141,0.000000,5.408370,0.000000,0.000000
142,0.000000,10.500060,0.000000,0.000000
143,0.000000,2.598090,0.000000,0.000000
144,0.566615,27.906179,0.750000,0.000000
145,0.000000,0.000000,0.000000,0.000000
146,0.000000,0.000000,0.000000,0.000000
147,0.000000,2.598090,0.000000,0.000000
148,0.000000,22.096531,0.000000,0.000000
149,0.000000,0.000000,0.000000,0.000000
150,0.000000,11.715450,0.000000,0.000000
151,0.000000,7.794270,0.000000,0.000000
152,0.000000,5.408370,0.000000,0.000000
153,0.000000,9.124200,0.000000,0.000000
154,0.000000,0.000000,0.000000,0.000000
155,0.000000,16.904221,0.000000,0.000000
156,0.000000,0.000000,0.000000,0.000000
157,0.000000,5.408370,0.000000,0.000000
158,0.000000,34.303978,0.000000,0.000000
159,0.000000,5.408370,0.000000,0.000000
160,0.602740,35.051071,1.000000,0.000000
161,0.000000,0.000000,0.000000,0.000000
162,0.000000,3.968640,0.000000,0.000000
163,0.000000,0.000000,0.000000,0.000000
164,0.000000,0.000000,0.000000,0.000000
165,0.000000,0.000000,0.000000,0.000000
166,0.000000,0.000000,0.000000,0.000000
167,0.000000,20.838810,0.000000,0.000000
168,0.000000,0.000000,0.000000,0.000000
169,0.000000,1.500000,0.000000,0.000000
170,0.000000,9.836220,0.000000,0.000000
171,0.000000,1.500000,0.000000,0.000000
172,0.000000,14.465549,0.000000,0.000000
173,1.005628,45.115955,1.500000,0.000000
174,0.000000,42.000240,0.000000,0.000000
175,0.000000,0.000000,0.000000,0.000000
176,0.000000,10.500060,0.000000,0.000000
177,0.000000,5.408340,0.000000,0.000000
178,0.000000,0.000000,0.000000,0.000000
179,0.000000,10.816710,0.000000,0.000000
180,0.000000,0.000000,0.000000,0.000000
181,0.000000,0.000000,0.000000,0.000000
182,0.000000,16.904249,0.000000,0.000000
183,0.000000,40.832218,0.000000,0.000000
<<<<<<< HEAD
184,0.000000,0.000000,0.000000,0.000000
=======
184,0.000000,5.408340,0.000000,0.000000
>>>>>>> origin/master
185,0.000000,18.432419,0.000000,0.000000
186,0.000000,2.598090,0.000000,0.000000
187,0.000000,3.968640,0.000000,0.000000
188,0.000000,7.937310,0.000000,0.000000
189,0.000000,2.598090,0.000000,0.000000
190,1.353415,93.501633,3.948000,0.000000
191,0.000000,1.500000,0.000000,0.000000
192,0.000000,0.000000,0.000000,0.000000
193,0.000000,3.968640,0.000000,0.000000
194,0.000000,6.538380,0.000000,0.000000
195,0.000000,51.592472,0.000000,0.000000
196,0.000000,0.000000,0.000000,0.000000
197,0.000000,4.500030,0.000000,0.000000
198,0.000000,0.000000,0.000000,0.000000
199,0.000000,2.598090,0.000000,0.000000
200,0.000000,0.000000,0.000000,0.000000
